,hip1,,hip2,,hip3,,femur1,,femur2,,femur3,,tibia1,,tibia2,,tibia3,
Time,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0,0.130779,2.906193,0.133044,2.836198,0.137497,2.7108,0.146258,2.335707,0.151473,2.023939,0.155707,1.758234,0.176091,1.337858,0.255987,1.012746,0.359147,0.636209
0.008333,0.130707,2.90615,0.131549,2.835679,0.137496,2.710732,0.146246,2.335635,0.151465,2.023837,0.155677,1.758155,0.176036,1.337714,0.255859,1.012573,0.358923,0.636031
0.016667,0.130705,2.906128,0.131523,2.835671,0.137493,2.710684,0.146214,2.335558,0.151426,2.023748,0.155632,1.758061,0.175989,1.337598,0.25574,1.012461,0.358741,0.635888
0.025,0.130686,2.906115,0.131531,2.83567,0.137469,2.710652,0.146205,2.335536,0.151408,2.023711,0.155635,1.758026,0.175952,1.337579,0.25563,1.012429,0.358541,0.635805
0.033333,0.130822,2.906195,0.132991,2.836162,0.137466,2.710654,0.146182,2.33551,0.151388,2.023727,0.155598,1.758043,0.175934,1.337606,0.25554,1.012349,0.358361,0.635795
0.041667,0.130651,2.906122,0.131465,2.835661,0.137432,2.710681,0.146163,2.335542,0.151354,2.023759,0.155575,1.758082,0.175868,1.337663,0.255442,1.012364,0.35821,0.635809
0.05,0.130739,2.906167,0.131445,2.835665,0.137404,2.710712,0.146146,2.335598,0.151319,2.023817,0.15554,1.75816,0.175832,1.337747,0.255362,1.012481,0.358105,0.635841
0.058333,0.130693,2.90619,0.131406,2.835653,0.137374,2.710766,0.146132,2.335623,0.151306,2.02387,0.15553,1.758182,0.175779,1.337817,0.255285,1.012488,0.357995,0.635845
0.066667,0.130724,2.906219,0.131418,2.835677,0.137368,2.71076,0.146119,2.335651,0.15129,2.023894,0.155499,1.758249,0.175718,1.337879,0.255229,1.012482,0.357898,0.635895
0.075,0.126041,2.904883,0.132889,2.836178,0.137347,2.710783,0.146101,2.335645,0.151282,2.023884,0.155487,1.758237,0.175685,1.33786,0.255195,1.012489,0.357847,0.635888
0.083333,0.130726,2.906231,0.13285,2.836197,0.13733,2.710749,0.146078,2.335622,0.151252,2.023873,0.155481,1.758211,0.175678,1.337816,0.255141,1.012445,0.35774,0.635809
0.091667,0.130636,2.906191,0.13286,2.836158,0.137332,2.710742,0.146066,2.335606,0.151243,2.02381,0.155468,1.758136,0.175665,1.337747,0.255131,1.012369,0.3577,0.635792
0.1,0.130658,2.906221,0.13285,2.836129,0.137298,2.710714,0.146073,2.335565,0.151226,2.023804,0.155435,1.758136,0.175625,1.337758,0.255076,1.012374,0.357659,0.635793
