,hip1,,hip2,,hip3,,femur1,,femur2,,femur3,,tibia1,,tibia2,,tibia3,
Time,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0,0.655405,1.959595,0.662067,1.836689,0.650907,1.706923,0.653679,1.53257,0.653639,1.291966,0.676559,1.108802,0.735983,0.900779,0.772826,0.524032,0.773946,0.133251
0.008333,0.655468,1.959794,0.662208,1.836841,0.65094,1.707063,0.653665,1.532707,0.653493,1.292048,0.676367,1.10897,0.735714,0.900871,0.772671,0.524141,0.773908,0.13342
0.016667,0.655523,1.959995,0.662289,1.836997,0.650996,1.707241,0.653718,1.532894,0.653397,1.292242,0.676288,1.109048,0.735544,0.90103,0.772554,0.524231,0.773901,0.133567
0.025,0.655526,1.96023,0.662362,1.837139,0.651044,1.707348,0.653753,1.533009,0.653376,1.292375,0.676215,1.109159,0.735441,0.901123,0.7725,0.524398,0.773931,0.133712
0.033333,0.655546,1.960343,0.662394,1.837199,0.651111,1.707413,0.65383,1.533116,0.653384,1.29247,0.676273,1.109256,0.735453,0.901239,0.772523,0.524492,0.773971,0.133842
0.041667,0.655594,1.960374,0.662441,1.837247,0.651128,1.707444,0.653915,1.533151,0.653464,1.292487,0.676301,1.109336,0.735532,0.901216,0.77254,0.524457,0.773947,0.133844
0.05,0.655648,1.960326,0.662488,1.837249,0.651196,1.707405,0.654032,1.533124,0.653589,1.292412,0.676432,1.109295,0.735633,0.901241,0.772621,0.524465,0.773947,0.133792
0.058333,0.65572,1.960201,0.662518,1.8372,0.65127,1.707318,0.654168,1.533062,0.65376,1.29232,0.676565,1.109211,0.735776,0.901202,0.772663,0.524337,0.773928,0.133689
0.066667,0.655781,1.96012,0.662571,1.837117,0.651347,1.70729,0.654306,1.532952,0.653959,1.292212,0.676752,1.109159,0.73593,0.90115,0.772786,0.524234,0.773903,0.133485
0.075,0.655858,1.960018,0.662652,1.837081,0.65146,1.707227,0.654432,1.532911,0.654119,1.292109,0.676867,1.109048,0.736079,0.901116,0.772873,0.524167,0.773893,0.133426
0.083333,0.655922,1.959957,0.662695,1.837055,0.651548,1.707192,0.654535,1.532851,0.654275,1.292115,0.67704,1.109004,0.73619,0.901113,0.772941,0.524119,0.7739,0.133394
0.091667,0.655966,1.960032,0.662754,1.837083,0.651654,1.707201,0.654675,1.532869,0.654367,1.292215,0.677094,1.109094,0.736303,0.901116,0.772986,0.524139,0.773896,0.133436
0.1,0.655971,1.960108,0.662865,1.837139,0.651727,1.707257,0.654801,1.532921,0.65448,1.292288,0.677153,1.109097,0.73637,0.901207,0.773057,0.524218,0.773912,0.133534
0.108333,0.655998,1.960304,0.662925,1.837256,0.651837,1.707334,0.654922,1.533022,0.654562,1.292465,0.677193,1.109209,0.736422,0.901335,0.773046,0.524395,0.773899,0.133632
0.116667,0.656046,1.960423,0.663003,1.837322,0.651913,1.707396,0.655039,1.533068,0.654666,1.292591,0.677265,1.109288,0.73641,0.901447,0.773014,0.524491,0.773902,0.133788
0.125,0.65611,1.96051,0.663052,1.837383,0.651996,1.707427,0.655151,1.533106,0.654709,1.292686,0.677258,1.109362,0.73642,0.90155,0.773005,0.524554,0.773902,0.133894
0.133333,0.656202,1.960505,0.663146,1.83734,0.652119,1.707444,0.65525,1.533108,0.65482,1.292719,0.677283,1.109397,0.736418,0.90156,0.772963,0.524563,0.77388,0.133814
0.141667,0.65628,1.960455,0.663212,1.837373,0.652185,1.707411,0.655347,1.533076,0.654879,1.292686,0.677298,1.109335,0.736398,0.901547,0.772949,0.52458,0.773864,0.133884
0.15,0.656401,1.960355,0.663282,1.837275,0.652278,1.707376,0.655443,1.533016,0.654947,1.292697,0.677282,1.109279,0.736434,0.901511,0.77294,0.52448,0.773809,0.13375
