femur 1		femur 4		tibia 1		tibia4	
X	Y	X	Y	X	Y	X	Y
1.514654	1.332667	1.518381	0.932148	1.581216	0.685687	1.699621	0.419539
1.514666	1.332703	1.518814	0.932175	1.582264	0.686099	1.701421	0.420297
1.514698	1.332713	1.519254	0.932209	1.583179	0.686459	1.703147	0.421025
1.514735	1.332697	1.519692	0.932186	1.584072	0.686699	1.704714	0.42159
1.514762	1.332678	1.520104	0.932188	1.585034	0.687054	1.706239	0.422112
1.514799	1.33267	1.520542	0.932166	1.585922	0.6873	1.70756	0.422645
1.514821	1.332664	1.520952	0.932181	1.586764	0.687626	1.708769	0.42316
1.514819	1.332651	1.521324	0.932174	1.58755	0.687936	1.710043	0.423697
1.514854	1.332646	1.521667	0.932181	1.588276	0.68828	1.711155	0.424166
1.514874	1.332639	1.521981	0.932163	1.589014	0.688667	1.7122	0.424707
1.514915	1.332629	1.522231	0.932166	1.589664	0.688992	1.713233	0.425171
1.514923	1.332646	1.522465	0.932176	1.590256	0.689288	1.714221	0.425681
1.514938	1.332667	1.522677	0.93219	1.590867	0.689763	1.715207	0.426371
1.514958	1.332679	1.522857	0.932231	1.591368	0.690217	1.716161	0.426997
1.514979	1.332721	1.522985	0.932279	1.591845	0.690667	1.717088	0.427679
1.515	1.332713	1.523073	0.93231	1.592196	0.691074	1.718017	0.428347
1.515007	1.332719	1.52312	0.932329	1.592527	0.691492	1.718938	0.429049
1.515008	1.332717	1.523143	0.932336	1.592934	0.691937	1.719857	0.42971
1.515007	1.332725	1.523134	0.932358	1.593238	0.692386	1.720865	0.43056
1.515021	1.332699	1.523109	0.932338	1.593527	0.692865	1.721703	0.431284
1.515007	1.332681	1.523051	0.932317	1.593838	0.693323	1.722669	0.432114
1.514999	1.332654	1.522991	0.932297	1.5941	0.693736	1.723666	0.432954
1.514989	1.332637	1.522905	0.932284	1.594434	0.694258	1.724637	0.433672
1.514988	1.332637	1.522833	0.932287	1.594755	0.694718	1.725713	0.434583
1.514981	1.332657	1.522779	0.932307	1.595022	0.695199	1.726772	0.435455
1.514958	1.332675	1.522729	0.932324	1.595354	0.695746	1.727964	0.436423
1.51497	1.332712	1.522693	0.932352	1.595689	0.696266	1.729104	0.43733
1.514944	1.332729	1.522702	0.932364	1.596111	0.696792	1.730241	0.438266
1.51494	1.332757	1.522703	0.932371	1.596592	0.697337	1.731533	0.439215
1.514935	1.33275	1.522759	0.932372	1.59702	0.697729	1.732846	0.440121
1.514949	1.332733	1.522869	0.932354	1.597598	0.698148	1.734182	0.440938
1.51494	1.332727	1.523005	0.932326	1.598255	0.698642	1.73551	0.441688
1.514933	1.332684	1.523188	0.932311	1.598899	0.69906	1.736971	0.442622
1.514946	1.332643	1.523427	0.932268	1.599592	0.699502	1.738379	0.443413
1.514968	1.332624	1.523721	0.932246	1.600297	0.699925	1.739915	0.444228
1.514954	1.332609	1.524024	0.932234	1.601046	0.700318	1.741416	0.445028
1.51498	1.332615	1.524376	0.932225	1.601891	0.700681	1.7431	0.445961
1.515004	1.332652	1.524725	0.932249	1.602676	0.701023	1.744728	0.44679
1.515052	1.332696	1.525066	0.932295	1.603569	0.701476	1.74638	0.44766
1.515061	1.332711	1.52544	0.932317	1.604459	0.701891	1.748172	0.448581
1.515112	1.332753	1.525853	0.932323	1.605337	0.702347	1.749885	0.449508
1.515146	1.332754	1.526281	0.932345	1.60642	0.702911	1.751594	0.450426
1.515198	1.332751	1.526759	0.93237	1.607359	0.703271	1.753459	0.451314
1.515237	1.332731	1.527237	0.932376	1.608301	0.703652	1.755232	0.452278
1.515282	1.332709	1.527681	0.932372	1.609233	0.704046	1.75706	0.45317
1.515323	1.332673	1.528079	0.932341	1.61	0.704393	1.758886	0.454127
1.515367	1.332665	1.528451	0.932328	1.610837	0.704917	1.760681	0.455129
1.515395	1.332642	1.528717	0.932342	1.61169	0.705434	1.762455	0.456246
1.515437	1.332664	1.528951	0.932374	1.612328	0.705852	1.764121	0.457316
1.515456	1.332676	1.52913	0.932423	1.612991	0.706388	1.765838	0.458494
1.515483	1.332712	1.529226	0.93246	1.613624	0.706993	1.76751	0.459668
1.515481	1.332744	1.529273	0.932538	1.61411	0.707481	1.768995	0.460799
1.515489	1.332758	1.529285	0.932597	1.614619	0.708147	1.770547	0.462192
1.515485	1.332791	1.529243	0.932643	1.615053	0.70872	1.771956	0.46333
1.515475	1.332807	1.529201	0.932695	1.615529	0.709384	1.773322	0.464553
1.515444	1.332805	1.529134	0.932716	1.615878	0.709964	1.774658	0.465708
1.515464	1.332807	1.529067	0.932725	1.616142	0.710398	1.775873	0.466777
1.515467	1.332777	1.528971	0.932704	1.616426	0.710837	1.777097	0.46784
1.515438	1.332761	1.528884	0.932685	1.616752	0.711303	1.778176	0.468851
1.515432	1.332724	1.528893	0.932667	1.617024	0.711716	1.7792	0.469773
1.515415	1.332736	1.528898	0.93266	1.617353	0.712246	1.780182	0.470726
1.515415	1.332716	1.528928	0.93263	1.617643	0.712699	1.781204	0.471663
1.515421	1.332742	1.528964	0.932622	1.617958	0.713219	1.782187	0.472617
1.515429	1.332738	1.529035	0.93263	1.618283	0.713748	1.783037	0.473503
1.515458	1.332759	1.529099	0.932616	1.618629	0.714225	1.783941	0.474393
1.515455	1.332762	1.529096	0.932621	1.619011	0.714692	1.78476	0.47523
1.515476	1.332794	1.529214	0.93264	1.619281	0.715146	1.785649	0.476232
1.515475	1.332833	1.529202	0.932664	1.619625	0.715692	1.786452	0.477065
1.515483	1.332854	1.529176	0.932754	1.619993	0.716303	1.787242	0.477976
1.515507	1.332856	1.529169	0.932639	1.620291	0.716818	1.788179	0.478915
1.515507	1.332846	1.529149	0.9326	1.620539	0.717277	1.789035	0.479645
1.515536	1.332822	1.529211	0.932583	1.620769	0.717729	1.789942	0.480597
1.515556	1.33279	1.529163	0.93251	1.620933	0.718128	1.790813	0.481548
1.515562	1.332755	1.529119	0.932542	1.621193	0.718568	1.791671	0.482472
1.51559	1.332763	1.529047	0.932514	1.621504	0.719091	1.79258	0.483394
1.51561	1.332746	1.529032	0.932542	1.621741	0.719539	1.793572	0.484427
1.515617	1.332768	1.52902	0.932557	1.622079	0.72004	1.794595	0.485512
1.515645	1.332797	1.529036	0.932621	1.622431	0.720554	1.795632	0.486533
1.515653	1.332854	1.52907	0.932709	1.622814	0.721042	1.796685	0.487441
1.515669	1.332906	1.529154	0.932781	1.623238	0.72163	1.797821	0.488585
1.515676	1.332942	1.529276	0.932834	1.623637	0.722132	1.799001	0.489625
1.515693	1.332934	1.529413	0.932859	1.624081	0.722571	1.800146	0.490633
1.515706	1.332933	1.529612	0.932878	1.624548	0.723021	1.80129	0.491552
1.515718	1.33291	1.529851	0.932863	1.625059	0.723383	1.802584	0.492597
1.515708	1.332899	1.530097	0.932861	1.62557	0.723759	1.803867	0.493554
1.515732	1.33288	1.530339	0.932833	1.626149	0.724197	1.805124	0.494502
1.515759	1.332875	1.530597	0.932831	1.626677	0.72462	1.806383	0.495531
1.515778	1.33286	1.530812	0.932849	1.627263	0.725095	1.807729	0.496696
