Results
version=1
nRows=664
nColumns=57
inDegrees=yes
endheader
time	pelvis_tilt	pelvis_tx	pelvis_ty	hip_flexion_r	knee_angle_r	ankle_angle_r	hip_flexion_l	knee_angle_l	ankle_angle_l	lumbar_extension	pelvis_tilt_u	pelvis_tx_u	pelvis_ty_u	hip_flexion_r_u	knee_angle_r_u	ankle_angle_r_u	hip_flexion_l_u	knee_angle_l_u	ankle_angle_l_u	lumbar_extension_u	hamstrings_r.activation	hamstrings_r.fiber_length	bifemsh_r.activation	bifemsh_r.fiber_length	glut_max_r.activation	glut_max_r.fiber_length	iliopsoas_r.activation	iliopsoas_r.fiber_length	rect_fem_r.activation	rect_fem_r.fiber_length	vasti_r.activation	vasti_r.fiber_length	gastroc_r.activation	gastroc_r.fiber_length	soleus_r.activation	soleus_r.fiber_length	tib_ant_r.activation	tib_ant_r.fiber_length	hamstrings_l.activation	hamstrings_l.fiber_length	bifemsh_l.activation	bifemsh_l.fiber_length	glut_max_l.activation	glut_max_l.fiber_length	iliopsoas_l.activation	iliopsoas_l.fiber_length	rect_fem_l.activation	rect_fem_l.fiber_length	vasti_l.activation	vasti_l.fiber_length	gastroc_l.activation	gastroc_l.fiber_length	soleus_l.activation	soleus_l.fiber_length	tib_ant_l.activation	tib_ant_l.fiber_length
      0.00000000	      0.00000000	      0.00000000	      0.00000000	     80.00000000	    -89.41200000	     10.58800000	     80.00000000	    -89.41200000	     10.58800000	    -10.58800000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.05000000	      0.14545094	      0.05000000	      0.14944589	      0.05000000	      0.20553222	      0.05000000	      0.04678968	      0.05000000	      0.11160823	      0.05000000	      0.14167463	      0.05000000	      0.06908753	      0.05000000	      0.05341176	      0.05000000	      0.07162210	      0.05000000	      0.14545094	      0.05000000	      0.14944589	      0.05000000	      0.20553222	      0.05000000	      0.04678968	      0.05000000	      0.11160823	      0.05000000	      0.14167463	      0.05000000	      0.06908753	      0.05000000	      0.05341176	      0.05000000	      0.07162210
      0.00100000	      0.00273314	     -0.00000194	      0.00000076	     79.99718903	    -89.41033616	     10.56214197	     79.99718903	    -89.41033616	     10.56214197	    -10.59143451	      5.47167055	     -0.00387151	      0.00153144	     -5.63675208	      3.32155043	    -51.38123961	     -5.63675208	      3.32155043	    -51.38123961	     -6.87404251	      0.04942954	      0.14545178	      0.04942954	      0.14944714	      0.04942954	      0.20553287	      0.04942954	      0.04678968	      0.04942954	      0.11160928	      0.04942954	      0.14167541	      0.04942954	      0.06908751	      0.04942954	      0.05341165	      0.04942954	      0.07162394	      0.04942954	      0.14545178	      0.04942954	      0.14944714	      0.04942954	      0.20553287	      0.04942954	      0.04678968	      0.04942954	      0.11160928	      0.04942954	      0.14167541	      0.04942954	      0.06908751	      0.04942954	      0.05341165	      0.04942954	      0.07162394
      0.00200000	      0.01096505	     -0.00000770	      0.00000311	     79.98866818	    -89.40538049	     10.48653284	     79.98866818	    -89.40538049	     10.48653284	    -10.60176851	     11.00813042	     -0.00761830	      0.00319226	    -11.44728579	      6.57288689	    -98.90736960	    -11.44728579	      6.57288689	    -98.90736960	    -13.80910643	      0.04886803	      0.14545384	      0.04886803	      0.14945024	      0.04886803	      0.20553309	      0.04886803	      0.04678968	      0.04886803	      0.11161245	      0.04886803	      0.14167702	      0.04886803	      0.06908477	      0.04886803	      0.05340937	      0.04886803	      0.07163354	      0.04886803	      0.14545384	      0.04886803	      0.14945024	      0.04886803	      0.20553309	      0.04886803	      0.04678968	      0.04886803	      0.11161245	      0.04886803	      0.14167702	      0.04886803	      0.06908477	      0.04886803	      0.05340937	      0.04886803	      0.07163354
      0.00323054	      0.02878588	     -0.00001976	      0.00000846	     79.96996426	    -89.39491752	     10.33359574	     79.96996426	    -89.39491752	     10.33359574	    -10.62409096	     17.99387150	     -0.01191200	      0.00558185	    -19.05105628	     10.39293263	   -147.51646875	    -19.05105628	     10.39293263	   -147.51646875	    -22.50761012	      0.04818913	      0.14545707	      0.04818913	      0.14945581	      0.04818913	      0.20553076	      0.04818913	      0.04678968	      0.04818913	      0.11161933	      0.04818913	      0.14167893	      0.04818913	      0.06907256	      0.04818913	      0.05339977	      0.04818913	      0.07166557	      0.04818913	      0.14545707	      0.04818913	      0.14945581	      0.04818913	      0.20553076	      0.04818913	      0.04678968	      0.04818913	      0.11161933	      0.04818913	      0.14167893	      0.04818913	      0.06907256	      0.04818913	      0.05339977	      0.04818913	      0.07166557
      0.00446109	      0.05535345	     -0.00003683	      0.00001705	     79.94150960	    -89.37991361	     10.12939582	     79.94150960	    -89.37991361	     10.12939582	    -10.65726068	     25.23036019	     -0.01574868	      0.00847519	    -27.31260398	     13.94415277	   -181.82465166	    -27.31260398	     13.94415277	   -181.82465166	    -31.44480696	      0.04752326	      0.14546000	      0.04752326	      0.14946295	      0.04752326	      0.20552454	      0.04752326	      0.04678968	      0.04752326	      0.11162966	      0.04752326	      0.14167982	      0.04752326	      0.06904620	      0.04752326	      0.05337902	      0.04752326	      0.07173446	      0.04752326	      0.14546000	      0.04752326	      0.14946295	      0.04752326	      0.20552454	      0.04752326	      0.04678968	      0.04752326	      0.11162966	      0.04752326	      0.14167982	      0.04752326	      0.06904620	      0.04752326	      0.05337902	      0.04752326	      0.07173446
      0.00569163	      0.09098661	     -0.00005832	      0.00002953	     79.90245895	    -89.36072437	      9.89245992	     79.90245895	    -89.36072437	      9.89245992	    -10.70157956	     32.72459047	     -0.01909421	      0.01189065	    -36.26790700	     17.19328349	   -200.74757404	    -36.26790700	     17.19328349	   -200.74757404	    -40.62407925	      0.04687011	      0.14546153	      0.04687011	      0.14947147	      0.04687011	      0.20551383	      0.04687011	      0.04678968	      0.04687011	      0.11164375	      0.04687011	      0.14167910	      0.04687011	      0.06900260	      0.04687011	      0.05334378	      0.04687011	      0.07184875	      0.04687011	      0.14546153	      0.04687011	      0.14947147	      0.04687011	      0.20551383	      0.04687011	      0.04678968	      0.04687011	      0.11164375	      0.04687011	      0.14167910	      0.04687011	      0.06900260	      0.04687011	      0.05334378	      0.04687011	      0.07184875
      0.00720308	      0.14758780	     -0.00008989	      0.00005105	     79.83880573	    -89.33197298	      9.58359738	     79.83880573	    -89.33197298	      9.58359738	    -10.77166785	     42.21471504	     -0.02258698	      0.01667388	    -48.09247709	     20.78150636	   -204.72119618	    -48.09247709	     20.78150636	   -204.72119618	    -52.15601927	      0.04608488	      0.14545998	      0.04608488	      0.14948360	      0.04608488	      0.20549385	      0.04608488	      0.04678968	      0.04608488	      0.11166682	      0.04608488	      0.14167556	      0.04608488	      0.06892362	      0.04608488	      0.05327734	      0.04608488	      0.07204091	      0.04608488	      0.14545998	      0.04608488	      0.14948360	      0.04608488	      0.20549385	      0.04608488	      0.04678968	      0.04608488	      0.11166682	      0.04608488	      0.14167556	      0.04608488	      0.06892362	      0.04608488	      0.05327734	      0.04608488	      0.07204091
      0.00891809	      0.22938177	     -0.00013156	      0.00008465	     79.74426091	    -89.29316892	      9.24318576	     79.74426091	    -89.29316892	      9.24318576	    -10.87246512	     53.18871700	     -0.02591177	      0.02255108	    -62.25664254	     24.40207550	   -189.40496459	    -62.25664254	     24.40207550	   -189.40496459	    -65.39905997	      0.04521600	      0.14545148	      0.04521600	      0.14949933	      0.04521600	      0.20546125	      0.04521600	      0.04678968	      0.04521600	      0.11170190	      0.04521600	      0.14166780	      0.04521600	      0.06880278	      0.04521600	      0.05317205	      0.04521600	      0.07229781	      0.04521600	      0.14545148	      0.04521600	      0.14949933	      0.04521600	      0.20546125	      0.04521600	      0.04678968	      0.04521600	      0.11170190	      0.04521600	      0.14166780	      0.04521600	      0.06880278	      0.04521600	      0.05317205	      0.04521600	      0.07229781
      0.01063311	      0.33001734	     -0.00017853	      0.00012842	     79.62508748	    -89.24846045	      8.94119815	     79.62508748	    -89.24846045	      8.94119815	    -10.99594337	     64.14750310	     -0.02882008	      0.02845539	    -76.73110415	     27.69546961	   -161.34694241	    -76.73110415	     27.69546961	   -161.34694241	    -78.56426941	      0.04436993	      0.14543351	      0.04436993	      0.14951691	      0.04436993	      0.20541741	      0.04436993	      0.04678968	      0.04436993	      0.11174820	      0.04436993	      0.14165612	      0.04436993	      0.06865842	      0.04436993	      0.05304358	      0.04436993	      0.07256207	      0.04436993	      0.14543351	      0.04436993	      0.14951691	      0.04436993	      0.20541741	      0.04436993	      0.04678968	      0.04436993	      0.11174820	      0.04436993	      0.14165612	      0.04436993	      0.06865842	      0.04436993	      0.05304358	      0.04436993	      0.07256207
      0.01234812	      0.44927196	     -0.00023032	      0.00018202	     79.48115952	    -89.19826258	      8.69244667	     79.48115952	    -89.19826258	      8.69244667	    -11.14176312	     74.86400806	     -0.03156262	      0.03394894	    -91.05090066	     30.83028126	   -128.51080037	    -91.05090066	     30.83028126	   -128.51080037	    -91.41289159	      0.04354599	      0.14540404	      0.04354599	      0.14953618	      0.04354599	      0.20536196	      0.04354599	      0.04679146	      0.04354599	      0.11180773	      0.04354599	      0.14164068	      0.04354599	      0.06850375	      0.04354599	      0.05290387	      0.04354599	      0.07280823	      0.04354599	      0.14540404	      0.04354599	      0.14953618	      0.04354599	      0.20536196	      0.04354599	      0.04679146	      0.04354599	      0.11180773	      0.04354599	      0.14164068	      0.04354599	      0.06850375	      0.04354599	      0.05290387	      0.04354599	      0.07280823
      0.01406314	      0.58651962	     -0.00028680	      0.00024435	     79.31312706	    -89.14272035	      8.49956876	     79.31312706	    -89.14272035	      8.49956876	    -11.30915283	     85.08557859	     -0.03431828	      0.03854649	   -104.76712298	     33.94809963	    -97.04916323	   -104.76712298	     33.94809963	    -97.04916323	   -103.66851513	      0.04274352	      0.14536142	      0.04274352	      0.14955704	      0.04274352	      0.20529490	      0.04274352	      0.04681338	      0.04274352	      0.11188242	      0.04274352	      0.14162166	      0.04274352	      0.06835099	      0.04274352	      0.05276359	      0.04274352	      0.07302214	      0.04274352	      0.14536142	      0.04274352	      0.14955704	      0.04274352	      0.20529490	      0.04274352	      0.04681338	      0.04274352	      0.11188242	      0.04274352	      0.14162166	      0.04274352	      0.06835099	      0.04274352	      0.05276359	      0.04274352	      0.07302214
      0.01577815	      0.74070766	     -0.00034811	      0.00031348	     79.12236020	    -89.08177055	      8.35634074	     79.12236020	    -89.08177055	      8.35634074	    -11.49686818	     94.59915326	     -0.03719880	      0.04183776	   -117.52593146	     37.15016030	    -71.14943668	   -117.52593146	     37.15016030	    -71.14943668	   -115.09411667	      0.04196187	      0.14530442	      0.04196187	      0.14957949	      0.04196187	      0.20521655	      0.04196187	      0.04687763	      0.04196187	      0.11197364	      0.04196187	      0.14159915	      0.04196187	      0.06820933	      0.04196187	      0.05263060	      0.04196187	      0.07319927	      0.04196187	      0.14530442	      0.04196187	      0.14957949	      0.04196187	      0.20521655	      0.04196187	      0.04687763	      0.04196187	      0.11197364	      0.04196187	      0.14159915	      0.04196187	      0.06820933	      0.04196187	      0.05263060	      0.04196187	      0.07319927
      0.01749317	      0.91056953	     -0.00041451	      0.00038706	     78.91061855	    -89.01520906	      8.25096802	     78.91061855	    -89.01520906	      8.25096802	    -11.70343249	    103.36819828	     -0.04028036	      0.04374752	   -129.22612715	     40.49945758	    -53.14993284	   -129.22612715	     40.49945758	    -53.14993284	   -125.65571457	      0.04120043	      0.14523226	      0.04120043	      0.14960357	      0.04120043	      0.20512752	      0.04120043	      0.04698114	      0.04120043	      0.11208172	      0.04120043	      0.14157318	      0.04120043	      0.06808421	      0.04120043	      0.05250975	      0.04120043	      0.07334202	      0.04120043	      0.14523226	      0.04120043	      0.14960357	      0.04120043	      0.20512752	      0.04120043	      0.04698114	      0.04120043	      0.11208172	      0.04120043	      0.14157318	      0.04120043	      0.06808421	      0.04120043	      0.05250975	      0.04120043	      0.07334202
      0.01920818	      1.09486706	     -0.00048640	      0.00046280	     78.67969268	    -88.94275807	      8.16909362	     78.67969268	    -88.94275807	      8.16909362	    -11.92741344	    111.44487146	     -0.04359523	      0.04437036	   -139.91143750	     44.01886594	    -43.73430935	   -139.91143750	     44.01886594	    -43.73430935	   -135.41826882	      0.04045860	      0.14514455	      0.04045860	      0.14962936	      0.04045860	      0.20502851	      0.04045860	      0.04711253	      0.04045860	      0.11220601	      0.04045860	      0.14154367	      0.04045860	      0.06797735	      0.04045860	      0.05240292	      0.04045860	      0.07345705	      0.04045860	      0.14514455	      0.04045860	      0.14962936	      0.04045860	      0.20502851	      0.04045860	      0.04711253	      0.04045860	      0.11220601	      0.04045860	      0.14154367	      0.04045860	      0.06797735	      0.04045860	      0.05240292	      0.04045860	      0.07345705
      0.02092320	      1.29247573	     -0.00056417	      0.00053860	     78.43123860	    -88.86413311	      8.09644684	     78.43123860	    -88.86413311	      8.09644684	    -12.16751372	    118.90488045	     -0.04712853	      0.04384766	   -149.68848621	     47.69446628	    -42.16550063	   -149.68848621	     47.69446628	    -42.16550063	   -144.46891285	      0.03973581	      0.14504131	      0.03973581	      0.14965697	      0.03973581	      0.20492022	      0.03973581	      0.04726378	      0.03973581	      0.11234509	      0.03973581	      0.14151050	      0.03973581	      0.06788747	      0.03973581	      0.05230932	      0.03973581	      0.07355280	      0.03973581	      0.14504131	      0.03973581	      0.14965697	      0.03973581	      0.20492022	      0.03973581	      0.04726378	      0.03973581	      0.11234509	      0.03973581	      0.14151050	      0.03973581	      0.06788747	      0.03973581	      0.05230932	      0.03973581	      0.07355280
      0.02263821	      1.50241091	     -0.00064815	      0.00061263	     78.16669326	    -88.77909826	      8.02099576	     78.16669326	    -88.77909826	      8.02099576	    -12.42259339	    125.83467388	     -0.05082921	      0.04234330	   -158.70318619	     51.48559818	    -46.64069042	   -158.70318619	     51.48559818	    -46.64069042	   -152.90312577	      0.03903151	      0.14492287	      0.03903151	      0.14968650	      0.03903151	      0.20480326	      0.03903151	      0.04743049	      0.03903151	      0.11249728	      0.03903151	      0.14147355	      0.03903151	      0.06781143	      0.03903151	      0.05222637	      0.03903151	      0.07363768	      0.03903151	      0.14492287	      0.03903151	      0.14968650	      0.03903151	      0.20480326	      0.03903151	      0.04743049	      0.03903151	      0.11249728	      0.03903151	      0.14147355	      0.03903151	      0.06781143	      0.03903151	      0.05222637	      0.03903151	      0.07363768
      0.02435323	      1.72384102	     -0.00073857	      0.00068337	     77.88722314	    -88.68750108	      7.93437816	     77.88722314	    -88.68750108	      7.93437816	    -12.69167950	    132.32489561	     -0.05462650	      0.04003074	   -167.12130050	     55.33775733	    -54.76933264	   -167.12130050	     55.33775733	    -54.76933264	   -160.81888780	      0.03834515	      0.14478980	      0.03834515	      0.14971801	      0.03834515	      0.20467816	      0.03834515	      0.04761029	      0.03834515	      0.11266093	      0.03834515	      0.14143269	      0.03834515	      0.06774526	      0.03834515	      0.05215064	      0.03834515	      0.07371918	      0.03834515	      0.14478980	      0.03834515	      0.14971801	      0.03834515	      0.20467816	      0.03834515	      0.04761029	      0.03834515	      0.11266093	      0.03834515	      0.14143269	      0.03834515	      0.06774526	      0.03834515	      0.05215064	      0.03834515	      0.07371918
      0.02606825	      1.95608684	     -0.00083554	      0.00074957	     77.59371062	    -88.58928528	      7.83246115	     77.59371062	    -88.58928528	      7.83246115	    -12.97396286	    138.46084394	     -0.05844689	      0.03707410	   -175.10422782	     59.19525748	    -64.09454060	   -175.10422782	     59.19525748	    -64.09454060	   -168.30746018	      0.03767622	      0.14464283	      0.03767622	      0.14975156	      0.03767622	      0.20454528	      0.03767622	      0.04780185	      0.03767622	      0.11283463	      0.03767622	      0.14138782	      0.03767622	      0.06768501	      0.03767622	      0.05207863	      0.03767622	      0.07380339	      0.03767622	      0.14464283	      0.03767622	      0.14975156	      0.03767622	      0.20454528	      0.03767622	      0.04780185	      0.03767622	      0.11283463	      0.03767622	      0.14138782	      0.03767622	      0.06768501	      0.03767622	      0.05207863	      0.03767622	      0.07380339
      0.02778326	      2.19860366	     -0.00093902	      0.00081025	     77.28678189	    -88.48448357	      7.71504639	     77.28678189	    -88.48448357	      7.71504639	    -13.26877786	    144.31265662	     -0.06222842	      0.03360851	   -182.78595635	     63.01145773	    -72.54952474	   -182.78595635	     63.01145773	    -72.54952474	   -175.44359724	      0.03702423	      0.14448271	      0.03702423	      0.14978717	      0.03702423	      0.20440487	      0.03702423	      0.04800439	      0.03702423	      0.11301727	      0.03702423	      0.14133889	      0.03702423	      0.06762724	      0.03702423	      0.05200736	      0.03702423	      0.07389458	      0.03702423	      0.14448271	      0.03702423	      0.14978717	      0.03702423	      0.20440487	      0.03702423	      0.04800439	      0.03702423	      0.11301727	      0.03702423	      0.14133889	      0.03702423	      0.06762724	      0.03702423	      0.05200736	      0.03702423	      0.07389458
      0.03014602	      2.54873524	     -0.00109208	      0.00088336	     76.84272876	    -88.32950450	      7.53337563	     76.84272876	    -88.32950450	      7.53337563	    -13.69445308	    151.99511314	     -0.06730216	      0.02816484	   -193.03679307	     68.14667423	    -80.35612921	   -193.03679307	     68.14667423	    -80.35612921	   -184.78952944	      0.03615284	      0.14424188	      0.03615284	      0.14983958	      0.03615284	      0.20419949	      0.03615284	      0.04830052	      0.03615284	      0.11328214	      0.03615284	      0.14126484	      0.03615284	      0.06754728	      0.03615284	      0.05190652	      0.03615284	      0.07403502	      0.03615284	      0.14424188	      0.03615284	      0.14983958	      0.03615284	      0.20419949	      0.03615284	      0.04830052	      0.03615284	      0.11328214	      0.03615284	      0.14126484	      0.03615284	      0.06754728	      0.03615284	      0.05190652	      0.03615284	      0.07403502
      0.03233508	      2.88892549	     -0.00124440	      0.00093893	     76.41001957	    -88.17525636	      7.35405744	     76.41001957	    -88.17525636	      7.35405744	    -14.10802109	    158.76017737	     -0.07183388	      0.02250297	   -202.25947987	     72.75667388	    -82.70978862	   -202.25947987	     72.75667388	    -82.70978862	   -192.98969581	      0.03537233	      0.14399899	      0.03537233	      0.14989158	      0.03537233	      0.20399663	      0.03537233	      0.04859200	      0.03537233	      0.11354032	      0.03537233	      0.14118945	      0.03537233	      0.06747043	      0.03537233	      0.05180826	      0.03537233	      0.07417889	      0.03537233	      0.14399899	      0.03537233	      0.14989158	      0.03537233	      0.20399663	      0.03537233	      0.04859200	      0.03537233	      0.11354032	      0.03537233	      0.14118945	      0.03537233	      0.06747043	      0.03537233	      0.05180826	      0.03537233	      0.07417889
      0.03452413	      3.24355411	     -0.00140647	      0.00098144	     75.95742233	    -88.01106208	      7.17425838	     75.95742233	    -88.01106208	      7.17425838	    -14.53905915	    165.18296617	     -0.07621947	      0.01623398	   -211.19789402	     77.23826851	    -80.99348558	   -211.19789402	     77.23826851	    -80.99348558	   -200.74737183	      0.03461666	      0.14373801	      0.03461666	      0.14994682	      0.03461666	      0.20378200	      0.03461666	      0.04889945	      0.03461666	      0.11381024	      0.03461666	      0.14110769	      0.03461666	      0.06739101	      0.03461666	      0.05170548	      0.03461666	      0.07433049	      0.03461666	      0.14373801	      0.03461666	      0.14994682	      0.03461666	      0.20378200	      0.03461666	      0.04889945	      0.03461666	      0.11381024	      0.03461666	      0.14110769	      0.03461666	      0.06739101	      0.03461666	      0.05170548	      0.03461666	      0.07433049
