PathFileType	4	(X/Y/Z)	squat.trc																																					
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames																																	
120	120	1544	8	mm	120	0	1544																																	
frame#	Time	Ankle_4	Ankle_4	Ankle_4	Ankle_3	Ankle_3	Ankle_3	Ankle_2	Ankle_2	Ankle_2	Ankle_1	Ankle_1	Ankle_1	Tibia_2	Tibia_2	Tibia_2	Pelvis_1	Pelvis_1	Pelvis_1	Pelvis_2	Pelvis_2	Pelvis_2	Femur_1 	Femur_1 	Femur_1 	Femur_2	Femur_2	Femur_2	Tibia_1	Tibia_1	Tibia_1	Ankle_5	Ankle_5	Ankle_5	Unlabeled:5029	Unlabeled:5029	Unlabeled:5029	Unlabeled:5030	Unlabeled:5030	Unlabeled:5030
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	Z8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X12	Y12	Z12
																																								
																																								
																																								
																																								
																																								
0	0	-183.890869	0.849816	255.796814	135.970932	1410.195313	167.089462	16.19009	-0.296105	257.703308	18.763277	-2.199418	-9.441874	137.067795	1279.96106	161.764694	161.614227	877.542236	139.192535	118.208458	233.721252	125.168564	164.059326	698.278564	119.149612	117.645576	109.103394	128.193832	116.843102	20.85165	132.448563	131.899155	1511.683228	170.990707						
1	0.008333	-183.938339	0.729698	255.764603	135.779648	1410.02478	167.165649	16.16283	-0.434775	257.658295	18.210176	-2.372401	-9.032065	136.904755	1279.789307	161.811371	161.55484	877.437134	139.188232	118.463654	234.744919	124.970032	164.286865	698.841492	118.983582	117.669304	109.129807	128.174774	116.835335	20.786049	132.427979	131.827805	1511.001465	171.239105						
2	0.016667	-183.650024	1.334079	255.680328	135.642059	1409.898071	167.175171	16.14929	-0.487757	257.618317	18.908319	-1.58586	-9.860178	136.785843	1280.089478	161.537521	161.529617	877.400574	139.166199	118.456779	234.728134	124.942154	164.268738	698.859436	118.999756	117.669174	109.105339	128.182938	116.843941	20.827059	132.442215	131.546005	1511.472412	171.166245						
3	0.025	-183.651672	1.337521	255.688644	135.522049	1409.825562	167.266541	16.360857	0.070608	257.455048	18.921852	-1.597407	-9.871482	136.6866	1280.030518	161.561829	161.488129	877.378418	139.187485	118.469955	234.677307	124.922791	164.249619	698.844177	118.984276	117.671539	109.134903	128.203094	116.830986	20.763906	132.397079	131.440094	1511.450562	171.211487						
4	0.033333	-183.636642	1.368716	255.669449	135.411926	1409.890137	167.316238	16.133398	-0.47292	257.631165	18.939909	-1.583306	-9.874071	136.577591	1280.070068	161.610229	161.468384	877.389954	139.21022	118.441025	234.711456	124.925415	164.255951	698.856262	118.98732	117.663574	109.127167	128.189636	116.401917	22.71241	130.059647	131.379059	1510.950317	171.525421						
5	0.041667	-183.933212	0.764878	255.791901	135.35495	1409.985352	167.385132	16.15086	-0.358737	257.703735	18.682985	-2.341579	-9.4919	136.514603	1280.137451	161.705704	161.45459	877.41394	139.264252	118.123245	233.568436	125.19397	163.985352	698.192993	119.087067	117.665237	109.12207	128.196426	116.837486	20.793804	132.458908	131.220505	1511.56958	171.360916						
6	0.05	-183.860489	0.964003	255.85672	135.303772	1410.138428	167.469818	16.229532	-0.23015	257.745605	18.787771	-1.996908	-9.45992	136.475281	1280.255615	161.775482	161.462204	877.511353	139.315338	118.244331	233.898468	125.191452	164.058136	698.467773	119.232704	117.685089	109.142357	128.205704	116.717468	20.188723	132.740479	131.156342	1511.721924	171.42337						
